,Text,Intent,intent
592,How can I go about applying for a comp off?,leave_comp,0
591,Can you guide me on how to request a comp off properly?,leave_comp,0
590,Could you provide a clear explanation of the process for receiving a comp off?,leave_comp,0
594,I would appreciate it if you could explain the proper procedure for availing a comp off.,leave_comp,0
580,Can you walk me through the process of receiving a comp off?,leave_comp,0
588,I need assistance in knowing how to get a comp off. Can you help me with that?,leave_comp,0
587,Can you explain the step-by-step process of obtaining a comp off?,leave_comp,0
586,What is the recommended process for applying for a comp off?,leave_comp,0
585,I'm interested in understanding how to receive a comp off. Can you give me some guidance?,leave_comp,0
584,Can you outline the necessary steps to follow when requesting a comp off?,leave_comp,0
583,Could you please provide a detailed explanation of the steps involved in getting a comp off?,leave_comp,0
582,What is the appropriate way to apply for a comp off?,leave_comp,0
581,I would like to know the correct procedure for obtaining a comp off. Can you assist me with that?,leave_comp,0
589,What are the correct actions to take when applying for a comp off?,leave_comp,0
85,Can I request an updated leave balance reflecting the earned leaves?,leave_date,1
84,How do I check my leave balance to see if the earned leaves have been credited?,leave_date,1
83,When can I expect my earned leaves to be available for use?,leave_date,1
82,What is the process for the crediting of earned leaves to my account?,leave_date,1
77,When can I use the earned leaves that have been credited to my leave balance?,leave_date,1
80,How long does it take for the earned leaves to reflect in my leave balance?,leave_date,1
79,Is there a deadline for the crediting of earned leaves to my leave balance?,leave_date,1
78,Can I transfer my earned leaves to the next year if they are not credited in time?,leave_date,1
86,Is there a lag time between earning leaves and their crediting to my account?,leave_date,1
81,At what point do the earned leaves become available for use?,leave_date,1
87,When will my leave balance show the earned leaves that have been credited?,leave_date,1
63,How soon after earning leaves will they be credited to my account?,leave_date,1
89,Is there a specific time of the day when the earned leaves are credited to my leave balance?,leave_date,1
90,How often are the earned leaves credited to my leave balance?,leave_date,1
91,Can I request an early credit of earned leaves to my account?,leave_date,1
92,When can I start planning my leave after earning the leaves?,leave_date,1
93,On what date are the earned leaves usually credited to my account?,leave_date,1
94,How many earned leaves can I accrue in a year?,leave_date,1
95,Can I request a confirmation of earned leaves credited to my leave balance?,leave_date,1
96,Is there a delay in the crediting of earned leaves to my account?,leave_date,1
97,How do I know when my earned leaves have been credited to my leave balance?,leave_date,1
98,When can I expect my earned leaves to be added to my leave balance?,leave_date,1
76,What is the time frame for the crediting of earned leaves to my account?,leave_date,1
88,How do I know if my earned leaves have been credited to my account?,leave_date,1
75,When do I start accruing earned leaves for the current year?,leave_date,1
56,Is there a fixed date when the earned leaves are credited to my account?,leave_date,1
73,How do I know that the earned leaves have been credited to my account?,leave_date,1
49,When can I expect my earned leaves to be credited to my account?,leave_date,1
50,Is there a specific date when the earned leaves are added to my leave balance?,leave_date,1
51,How often are the earned leaves credited to my account?,leave_date,1
52,Can you tell me the date when my leave balance gets updated with earned leaves?,leave_date,1
53,At what frequency are the earned leaves credited to my leave balance?,leave_date,1
54,When should I expect my earned leaves to be added to my account?,leave_date,1
74,Is there a limit to the number of earned leaves that can be credited at one time?,leave_date,1
57,When will I see my earned leaves reflected in my leave balance?,leave_date,1
58,When can I start using my earned leaves after they are credited?,leave_date,1
59,How can I check if my earned leaves have been credited to my leave balance?,leave_date,1
60,Is there a delay between earning leaves and their crediting to my account?,leave_date,1
55,How long does it take for earned leaves to reflect in my leave balance?,leave_date,1
62,On which date should I expect my earned leaves to be credited to my account?,leave_date,1
61,When will I know that my earned leaves have been added to my leave balance?,leave_date,1
71,When will I receive notification of my earned leaves being credited to my account?,leave_date,1
70,Is there a specific day of the month when the earned leaves are credited?,leave_date,1
69,On what basis are the earned leaves credited to my leave balance?,leave_date,1
68,How can I confirm that my earned leaves have been credited to my account?,leave_date,1
72,Can I request a confirmation of earned leaves credited to my account?,leave_date,1
66,When can I start planning my leave after earning the leaves?,leave_date,1
65,Is there a time limit for the crediting of earned leaves to my account?,leave_date,1
64,Can I request an early credit of my earned leaves to my leave balance?,leave_date,1
67,At what time of the day are the earned leaves credited to my account?,leave_date,1
141,Do earned leaves gradually accumulate in the leave balance over time?,leave_date_count,2
140,Is there a specific day of the month when earned leaves are credited to the leave balance?,leave_date_count,2
138,How does the system ensure the timely credit of earned leaves to the leave balance?,leave_date_count,2
137,Does the leave management system follow a specific timeline for the allocation of earned leaves to the leave balance?,leave_date_count,2
136,Is there a regular interval for adding earned leaves to the leave balance?,leave_date_count,2
134,How does the leave tracking system calculate the credit of earned leaves to the leave balance?,leave_date_count,2
133,When do earned leaves show up in the leave balance?,leave_date_count,2
132,Is there a specific time frame for earned leaves to be credited to the leave balance?,leave_date_count,2
131,When do earned leaves become part of the leave balance?,leave_date_count,2
130,Do earned leaves accumulate over time in the leave balance?,leave_date_count,2
142,What is the process for earned leaves to be added to the leave balance?,leave_date_count,2
135,Are earned leaves credited to the leave balance on a predetermined date?,leave_date_count,2
143,Is there a particular day or time when earned leaves are credited to the leave balance?,leave_date_count,2
139,Are earned leaves added to the leave balance at the beginning or end of the month?,leave_date_count,2
145,Are earned leaves credited to the leave balance on a monthly basis?,leave_date_count,2
146,Is there a fixed schedule for the addition of earned leaves to the leave balance?,leave_date_count,2
147,When do earned leaves become available in the leave balance?,leave_date_count,2
148,How does the leave management system determine the credit of earned leaves to the leave balance?,leave_date_count,2
149,Are earned leaves automatically added to the leave balance each month?,leave_date_count,2
150,Is there a specific date for the credit of earned leaves to the leave balance?,leave_date_count,2
151,Do earned leaves gradually accumulate in the leave balance over a period of time?,leave_date_count,2
152,What is the frequency of earned leaves being credited to the leave balance?,leave_date_count,2
153,Is there a specific timeframe for earned leaves to be added to the leave balance?,leave_date_count,2
154,When do earned leaves reflect in the leave balance?,leave_date_count,2
155,How does the leave tracking system calculate the addition of earned leaves to the leave balance?,leave_date_count,2
129,Is there a standard practice for crediting earned leaves to the leave balance?,leave_date_count,2
144,How does the leave tracking system handle the addition of earned leaves to the leave balance?,leave_date_count,2
128,Does the leave management system have a specific schedule for the addition of earned leaves to the leave balance?,leave_date_count,2
108,How does the system determine when to credit earned leaves to the leave balance?,leave_date_count,2
126,How does the leave tracking system determine the credit of earned leaves to the leave balance?,leave_date_count,2
99,When are earned leaves credited to the leave balance?,leave_date_count,2
100,What is the timing for crediting earned leaves to the leave balance?,leave_date_count,2
101,When can I expect my earned leaves to be credited to my leave balance?,leave_date_count,2
102,At what frequency are earned leaves added to the leave balance?,leave_date_count,2
103,Can you provide information about the process of crediting earned leaves to the leave balance?,leave_date_count,2
104,How often are earned leaves credited to the leave balance?,leave_date_count,2
105,When are earned leaves typically added to the leave balance?,leave_date_count,2
106,What is the usual time for earned leaves to be credited to the leave balance?,leave_date_count,2
107,Is there a specific date or time when earned leaves are credited to the leave balance?,leave_date_count,2
109,Is there a specific schedule for adding earned leaves to the leave balance?,leave_date_count,2
110,Are earned leaves credited to the leave balance on a monthly basis?,leave_date_count,2
111,Do earned leaves accumulate in the leave balance on a monthly basis?,leave_date_count,2
113,How frequently are earned leaves credited to the leave balance?,leave_date_count,2
112,Is there a monthly allocation of earned leaves to the leave balance?,leave_date_count,2
115,Is there a specific timeframe for crediting earned leaves to the leave balance?,leave_date_count,2
116,What is the procedure for adding earned leaves to the leave balance?,leave_date_count,2
127,Are earned leaves added to the leave balance at the end of each month?,leave_date_count,2
117,Do earned leaves accrue in the leave balance at regular intervals?,leave_date_count,2
118,When can I expect my earned leaves to reflect in the leave balance?,leave_date_count,2
119,Is there a set pattern for the addition of earned leaves to the leave balance?,leave_date_count,2
120,How does the leave management system handle the crediting of earned leaves to the leave balance?,leave_date_count,2
121,Are earned leaves automatically credited to the leave balance each month?,leave_date_count,2
122,Is there a fixed date for the credit of earned leaves to the leave balance?,leave_date_count,2
123,Do earned leaves accumulate gradually in the leave balance?,leave_date_count,2
124,What is the frequency of earned leaves being added to the leave balance?,leave_date_count,2
125,Is there a specific time period for the allocation of earned leaves to the leave balance?,leave_date_count,2
114,Do earned leaves get added to the leave balance on a regular basis?,leave_date_count,2
237,"If my grandparent dies, can I avail of bereavement leave?",leave_family,3
236,"In the event of my grandparent's death, am I entitled to bereavement leave?",leave_family,3
238,Is bereavement leave applicable for the passing of a grandparent?,leave_family,3
244,"If my grandparent dies, will I be granted bereavement leave?",leave_family,3
240,Can I take time off for the funeral of my grandparent?,leave_family,3
241,"If my grandparent passes away, can I take leave under the bereavement policy?",leave_family,3
242,Is bereavement leave allowed when a grandparent dies?,leave_family,3
243,"When my grandparent passes away, can I take bereavement leave?",leave_family,3
235,Can I take time off work to mourn the loss of my grandparent?,leave_family,3
245,Can I request bereavement leave due to the loss of my grandparent?,leave_family,3
239,Am I eligible for bereavement leave if my grandparent dies?,leave_family,3
234,"If my grandparent passes away, will I be given bereavement leave?",leave_family,3
222,May I be granted bereavement leave in the event of my grandparent's death?,leave_family,3
232,"When a grandparent passes away, can I be granted bereavement leave?",leave_family,3
231,"If my grandparent dies, can I request bereavement leave?",leave_family,3
230,Am I allowed to take bereavement leave in case of my grandparent's demise?,leave_family,3
229,Is bereavement leave provided for the loss of a grandparent?,leave_family,3
228,"If my grandparent passes away, is there a provision for bereavement leave?",leave_family,3
227,"In the unfortunate event of my grandparent's death, can I take bereavement leave?",leave_family,3
280,"If my grandparent dies, can I take time off work to attend the funeral proceedings?",leave_family,3
225,"If my grandparent passes away, will I be eligible for bereavement leave?",leave_family,3
224,Is bereavement leave offered to employees who have lost a grandparent?,leave_family,3
223,"When a grandparent passes away, can I take time off through bereavement leave?",leave_family,3
246,"When a grandparent passes away, am I eligible for bereavement leave?",leave_family,3
221,Does the company policy allow for bereavement leave when a grandparent dies?,leave_family,3
220,"If my grandparent has passed away, am I entitled to take bereavement leave?",leave_family,3
233,Is it possible for me to take bereavement leave for my grandparent's death?,leave_family,3
247,"If my grandparent dies, can I take time off work through bereavement leave?",leave_family,3
260,Can I take time off work to attend my grandparent's burial?,leave_family,3
249,Am I entitled to bereavement leave if my grandparent passes away?,leave_family,3
277,"If my grandparent dies, will I be eligible for bereavement leave to grieve?",leave_family,3
219,Is it possible to take bereavement leave due to the loss of a grandparent?,leave_family,3
276,"When a grandparent passes away, can I take leave for bereavement purposes?",leave_family,3
275,Is bereavement leave granted for the demise of my grandparent's life?,leave_family,3
274,"If my grandparent dies, can I avail of bereavement leave to cope with the loss?",leave_family,3
273,Can I take time off work to pay my respects to my grandparent?,leave_family,3
272,Am I entitled to bereavement leave if my grandparent passes on?,leave_family,3
271,Is bereavement leave applicable for the passing of my grandparent's life?,leave_family,3
270,"If my grandparent dies, can I take time off to honor their memory?",leave_family,3
269,"When my grandparent passes away, can I take leave through the bereavement policy?",leave_family,3
268,Is bereavement leave allowed for the loss of a grandparent's life?,leave_family,3
267,"If my grandparent dies, can I request bereavement leave?",leave_family,3
266,"In the event of my grandparent's demise, am I eligible for bereavement leave?",leave_family,3
248,Is bereavement leave provided for the passing of a grandparent?,leave_family,3
265,Can I take time off work to mourn the loss of my grandparent's life?,leave_family,3
263,"When my grandparent dies, can I take bereavement leave?",leave_family,3
262,Is bereavement leave provided when a grandparent passes away?,leave_family,3
261,"If my grandparent dies, can I be granted bereavement leave?",leave_family,3
259,Am I eligible for bereavement leave if my grandparent passes?,leave_family,3
258,Is bereavement leave offered for the death of a grandparent?,leave_family,3
257,"If my grandparent dies, can I take time off work to grieve?",leave_family,3
256,"When a grandparent passes away, am I allowed to take bereavement leave?",leave_family,3
255,Can I request bereavement leave in the event of my grandparent's passing?,leave_family,3
254,"If my grandparent dies, will I be eligible for bereavement leave?",leave_family,3
253,"When a grandparent passes away, can I take leave for bereavement?",leave_family,3
252,Is bereavement leave granted for the demise of a grandparent?,leave_family,3
251,"If my grandparent dies, can I avail bereavement leave?",leave_family,3
250,Can I take time off work to attend my grandparent's memorial service?,leave_family,3
264,"If my grandparent passes away, will I be entitled to bereavement leave?",leave_family,3
218,Can I request bereavement leave if my grandparent passes away?,leave_family,3
226,Can I take time off work to attend my grandparent's funeral?,leave_family,3
282,Am I eligible for bereavement leave if my grandparent passes away peacefully?,leave_family,3
278,Can I request bereavement leave in the unfortunate event of my grandparent's passing?,leave_family,3
281,Is bereavement leave offered for the death of my grandparent's life?,leave_family,3
292,"If my grandparent dies, can I take time off work to honor and remember their life?",leave_family,3
291,"When a grandparent passes away, can I take leave through the bereavement policy to mourn?",leave_family,3
290,Is bereavement leave granted for the passing of my grandparent's life peacefully?,leave_family,3
289,"If my grandparent dies, can I avail of bereavement leave for the grieving process?",leave_family,3
279,"When a grandparent passes away, am I allowed to take bereavement leave to mourn?",leave_family,3
287,"If my grandparent passes away, will I be entitled to bereavement leave to mourn?",leave_family,3
286,"When my grandparent dies, can I take bereavement leave to deal with the loss?",leave_family,3
285,Is bereavement leave provided when a grandparent passes away suddenly?,leave_family,3
283,Can I take time off work to remember and honor my grandparent's life?,leave_family,3
284,"If my grandparent dies, can I be granted bereavement leave to cope with the loss?",leave_family,3
288,Can I take time off work to attend the funeral service of my grandparent?,leave_family,3
474,Can I submit a late arrival partial day request form after I've already reviewed my schedule?,leave_late_arrival,4
473,Is it within the policy to apply for a late arrival partial day request after I've already completed some research?,leave_late_arrival,4
472,Can I still request for a late arrival partial day after I've already worked on a project?,leave_late_arrival,4
471,Is it possible to request a late arrival partial day after I've already assisted a client?,leave_late_arrival,4
470,Can I fill out a late arrival partial day request form after I've already attended a team meeting?,leave_late_arrival,4
469,"After entering the office, can I still apply for a late arrival partial day due to transportation issues?",leave_late_arrival,4
468,Is it acceptable to submit a late arrival partial day request once I've already participated in a conference call?,leave_late_arrival,4
467,Can I request for a late arrival partial day after I've already completed some administrative tasks?,leave_late_arrival,4
466,Is it permissible to request a late arrival partial day after I've already checked my emails?,leave_late_arrival,4
463,Is it possible to request a late arrival partial day after I've already received my daily assignments?,leave_late_arrival,4
464,"After entering the office premises, can I still apply for a late arrival partial day due to personal reasons?",leave_late_arrival,4
462,Can I submit a late arrival partial day request form after I've already attended a training session?,leave_late_arrival,4
461,Is it within the policy to apply for a late arrival partial day request after I've already made some progress on my projects?,leave_late_arrival,4
460,Can I request for a late arrival partial day after I've already interacted with my colleagues?,leave_late_arrival,4
459,"After entering the office, can I still request for a late arrival partial day due to unforeseen circumstances?",leave_late_arrival,4
458,Is it acceptable to submit a late arrival partial day request once I've already completed some work?,leave_late_arrival,4
457,Can I still apply for a late arrival partial day request after I've already started my morning tasks?,leave_late_arrival,4
456,Is it permissible to request a late arrival partial day after I've already attended a meeting?,leave_late_arrival,4
455,Can I fill out a late arrival partial day request form after I've already logged into my computer?,leave_late_arrival,4
454,"After entering the office premises, can I still submit a late arrival partial day request?",leave_late_arrival,4
465,Can I still fill out a late arrival partial day request after I've already started collaborating with my team?,leave_late_arrival,4
475,"After entering the office premises, can I still request for a late arrival partial day due to a personal appointment?",leave_late_arrival,4
478,"After entering the office, can I still fill out a late arrival partial day request form due to a family emergency?",leave_late_arrival,4
477,Is it permissible to apply for a late arrival partial day request once I've already attended a team lunch?,leave_late_arrival,4
501,Can I request for a late arrival partial day after I've already collaborated with an external partner?,leave_late_arrival,4
500,"After entering the office premises, can I still apply for a late arrival partial day due to a personal errand?",leave_late_arrival,4
499,Is it acceptable to request a late arrival partial day after I've already attended a department meeting?,leave_late_arrival,4
498,Can I fill out a late arrival partial day request form after I've already completed some marketing tasks?,leave_late_arrival,4
497,Can I still request for a late arrival partial day after I've already conducted an interview?,leave_late_arrival,4
496,Is it permissible to submit a late arrival partial day request once I've already attended a company training?,leave_late_arrival,4
495,Can I request for a late arrival partial day after I've already completed some financial analysis?,leave_late_arrival,4
494,"After entering the office, can I still apply for a late arrival partial day due to a delayed flight?",leave_late_arrival,4
493,Is it possible to request a late arrival partial day after I've already finished a client presentation?,leave_late_arrival,4
492,Can I still fill out a late arrival partial day request after I've already participated in a team discussion?,leave_late_arrival,4
476,Can I request for a late arrival partial day after I've already completed some documentation?,leave_late_arrival,4
491,"After entering the office premises, can I still request for a late arrival partial day due to a personal commitment?",leave_late_arrival,4
489,Is it within the policy to apply for a late arrival partial day request once I've already resolved an issue?,leave_late_arrival,4
488,Can I request for a late arrival partial day after I've already completed some coding tasks,leave_late_arrival,4
487,"After entering the office, can I still submit a late arrival partial day request due to a traffic jam?",leave_late_arrival,4
486,Can I still apply for a late arrival partial day request after I've already conducted a client meeting?,leave_late_arrival,4
485,Is it permissible to request a late arrival partial day after I've already participated in a brainstorming session?,leave_late_arrival,4
484,Can I fill out a late arrival partial day request form after I've already attended a team-building activity?,leave_late_arrival,4
483,"After entering the office premises, can I still request for a late arrival partial day due to a medical appointment?",leave_late_arrival,4
481,Can I request for a late arrival partial day after I've already collaborated with a cross-functional team?,leave_late_arrival,4
480,Is it acceptable to request a late arrival partial day after I've already provided feedback on a project?,leave_late_arrival,4
479,Can I still submit a late arrival partial day request after I've already finished a training module?,leave_late_arrival,4
490,Can I submit a late arrival partial day request form after I've already attended a company event?,leave_late_arrival,4
482,Is it possible to apply for a late arrival partial day request once I've already completed a milestone?,leave_late_arrival,4
453,Is it possible to apply for a late arrival partial day request once I've already settled into my workspace?,leave_late_arrival,4
452,Can I request for a late arrival partial day after I've already started my work?,leave_late_arrival,4
365,Can you list the various options for partial leave based on different needs?,leave_partial,5
364,Are there specific categories of partial leave that are suitable for certain scenarios?,leave_partial,5
362,What are the different types of partial leave that can be taken in different circumstances?,leave_partial,5
361,I'm interested in understanding the various categories of partial leave.,leave_partial,5
360,Can you provide me with a breakdown of the types of partial leave that exist?,leave_partial,5
359,Are there different options for partial leave depending on the specific situation?,leave_partial,5
358,Could you explain the various types of partial leave that are available?,leave_partial,5
357,What are the categories of partial leave that I can avail myself of?,leave_partial,5
356,I would like to know the different types of partial leave that are offered.,leave_partial,5
355,Can you list the available options for partial leave depending on the need?,leave_partial,5
367,What are the available categories of partial leave that I can choose from?,leave_partial,5
353,Could you please provide information on the different categories of partial leave?,leave_partial,5
352,What are the types of partial leave that I can consider in different situations?,leave_partial,5
351,Can you give me an overview of the various options for partial leave?,leave_partial,5
350,Are there different kinds of partial leave that can be taken?,leave_partial,5
349,I'm interested in knowing the types of partial leave that are available.,leave_partial,5
348,Can you outline the different categories of partial leave that are offered?,leave_partial,5
347,What are the options for taking partial leave in different scenarios?,leave_partial,5
346,Could you please explain the various types of partial leave that exist?,leave_partial,5
345,Are there specific options for partial leave depending on the circumstances?,leave_partial,5
344,I would like to know the categories of partial leave that I can choose from.,leave_partial,5
366,I would like to know the types of partial leave that are provided.,leave_partial,5
354,Are there specific types of partial leave that are appropriate for certain circumstances?,leave_partial,5
368,Could you provide information on the different types of partial leave that exist?,leave_partial,5
369,Are there different choices for partial leave depending on the circumstances?,leave_partial,5
391,I'm interested in understanding the various categories of partial leave.,leave_partial,5
390,Can you provide me with a breakdown of the types of partial leave that exist?,leave_partial,5
389,Are there different choices for partial leave depending on the specific circumstances?,leave_partial,5
388,Could you explain the different types of partial leave that are available?,leave_partial,5
387,What are the categories of partial leave that I can consider for my needs?,leave_partial,5
386,I would like to know the types of partial leave that are offered in different situations.,leave_partial,5
385,Can you list the available options for partial leave based on specific requirements?,leave_partial,5
384,Are there specific categories of partial leave appropriate for different scenarios?,leave_partial,5
383,Could you please provide an overview of the types of partial leave that are available?,leave_partial,5
382,What are the different types of partial leave that can be taken in various circumstances?,leave_partial,5
343,Can you provide me with a list of partial leaves available for different situations?,leave_partial,5
381,I'm interested in understanding the options for partial leave.,leave_partial,5
379,Are there different categories of partial leave depending on the situation?,leave_partial,5
378,Could you provide me with information on the different types of partial leave available?,leave_partial,5
377,What are the categories of partial leave that I can choose from?,leave_partial,5
376,I would like to know the various types of partial leave offered.,leave_partial,5
375,Can you list the options for partial leave based on different requirements?,leave_partial,5
374,Are there specific types of partial leave suitable for particular circumstances?,leave_partial,5
373,Could you please explain the different categories of partial leave?,leave_partial,5
372,What are the types of partial leave that can be considered for specific scenarios?,leave_partial,5
371,I'm interested in knowing the options for partial leave in different situations.,leave_partial,5
370,Can you give me an overview of the types of partial leave that are available?,leave_partial,5
380,Can you outline the types of partial leave that exist for different needs?,leave_partial,5
342,What are the different types of partial leave that can be taken?,leave_partial,5
363,Could you please outline the types of partial leave that are available?,leave_partial,5
392,How many days can I regularize in a month?,leave_reg,6
420,Can you inform me about the maximum count of regularizations in a month?,leave_reg,6
419,Is there a set number of times I can regularize within a month?,leave_reg,6
418,Could you clarify the limit on the number of regularizations per month?,leave_reg,6
417,What is the maximum frequency of regularizations allowed in a month?,leave_reg,6
416,How often can I request regularization in a single month?,leave_reg,6
415,Can you provide information on the monthly cap for regularizations?,leave_reg,6
414,What is the maximum number of times I can regularize in one month?,leave_reg,6
413,Is there a restriction on the frequency of regularization within a month?,leave_reg,6
412,Could you please tell me the monthly limit for regularizations?,leave_reg,6
411,What is the maximum number of times I can regularize within a month?,leave_reg,6
410,Is there a specific number of regularizations I can have per month?,leave_reg,6
409,How many times can I request regularization in a month?,leave_reg,6
421,What is the maximum number of regularizations I can have in a single month?,leave_reg,6
408,Can you clarify the maximum allowance for regularization within a month?,leave_reg,6
406,Is there a cap on the frequency of regularization allowed in a month?,leave_reg,6
405,Could you please inform me about the monthly restriction on the number of times I can regularize?,leave_reg,6
404,What is the maximum count of regularizations I can request in a single month?,leave_reg,6
403,Can you provide details on the maximum number of times I can regularize in a month?,leave_reg,6
402,Is there a set limit on the number of times I can regularize within a calendar month?,leave_reg,6
401,What is the maximum frequency of regularization I can have in a month?,leave_reg,6
400,Is there a specific number of times I can regularize in a monthly period?,leave_reg,6
399,Could you clarify the limit on the frequency of regularization within a month?,leave_reg,6
398,What is the maximum number of regularizations permitted in a month?,leave_reg,6
397,How many times am I allowed to regularize in a month?,leave_reg,6
396,Is there a restriction on the number of times I can regularize within a month?,leave_reg,6
395,Can you please provide information on the maximum frequency of regularization in a month?,leave_reg,6
407,What is the maximum limit for the number of regularizations in a single month?,leave_reg,6
422,Could you please explain the monthly limit for the number of times I can regularize?,leave_reg,6
423,Is there a cap on the number of regularizations in a month?,leave_reg,6
424,What is the maximum allowance for regularizations within a month?,leave_reg,6
451,What is the maximum frequency of regularizations permitted in a month?,leave_reg,6
450,How often can I request regularizations within a month?,leave_reg,6
449,Can you provide information on the monthly limit for the number of times I can regularize?,leave_reg,6
448,What is the maximum count of regularizations I can request in a month?,leave_reg,6
447,Is there a cap on the number of regularizations I can have in a month?,leave_reg,6
446,Could you please inform me about the monthly restriction on regularizations?,leave_reg,6
445,What is the maximum number of times I can request regularizations in a month?,leave_reg,6
444,Is there a specific limit on the frequency of regularizations per month?,leave_reg,6
443,How many times can I regularize in a single month?,leave_reg,6
442,Can you clarify the maximum number of regularizations within a month?,leave_reg,6
441,What is the maximum allowance for regularizations in a month?,leave_reg,6
440,Is there a cap on the number of times I can regularize in a month?,leave_reg,6
439,Could you please provide details on the monthly limit for regularizations?,leave_reg,6
438,What is the maximum number of regularizations allowed in a month?,leave_reg,6
437,Can you explain the maximum count of regularizations for a month?,leave_reg,6
436,Is there a set maximum for the number of times I can regularize in a month?,leave_reg,6
435,Could you clarify the limit on the number of regularizations within a month?,leave_reg,6
434,What is the maximum frequency of regularizations in a month?,leave_reg,6
433,How often can I regularize in one month?,leave_reg,6
432,Can you inform me about the monthly limit on the number of regularizations?,leave_reg,6
431,What is the maximum count of regularizations permitted in a single month?,leave_reg,6
430,Is there a cap on the frequency of regularizations within a month?,leave_reg,6
429,Could you please provide information on the monthly restriction for regularizations?,leave_reg,6
428,What is the maximum number of times I can request regularization in a month?,leave_reg,6
427,Is there a specific limit on the number of regularizations per month?,leave_reg,6
426,How many times can I regularize in a calendar month?,leave_reg,6
425,Can you clarify the maximum number of times I can regularize in a month?,leave_reg,6
394,What is the monthly cap on the number of times I can regularize?,leave_reg,6
393,Is there a maximum limit on the number of times I can regularize in a single month?,leave_reg,6
166,Could you explain the various types of leaves that employees can take advantage of?,leave_type,7
216,"What are the various leave categories that exist, and how do they differ from each other?",leave_type,7
185,Can you describe the various leave options that are available to employees?,leave_type,7
184,What are the different types of leaves that I can take advantage of?,leave_type,7
183,Could you give me a breakdown of the various leave categories that exist?,leave_type,7
182,What are the different kinds of leaves that I can avail as an employee?,leave_type,7
181,I'm looking for information on the types of leaves that I can take. Can you tell me more?,leave_type,7
180,"What are the various types of leaves that employees can take, and what are their purposes?",leave_type,7
179,I'm not sure what kinds of leaves I'm eligible for. Could you provide some information,leave_type,7
178,Can you explain the different categories of leaves that employees can avail?,leave_type,7
177,"What are the different leave options that I have as an employee, and how do they work?",leave_type,7
176,Could you provide a list of the different types of leaves that are typically offered to employees?,leave_type,7
175,What are the various leave categories that employees can choose to take?,leave_type,7
174,I'm interested in learning about the different kinds of leaves that exist. Could you help me?,leave_type,7
173,Can you describe the various leave options that are available to employees?,leave_type,7
172,What are the different types of leaves that I can take advantage of?,leave_type,7
171,Could you give me a breakdown of the various leave categories that exist?,leave_type,7
170,What are the different kinds of leaves that I can avail as an employee?,leave_type,7
169,I'm looking for information on the types of leaves that I can take. Can you tell me more?,leave_type,7
168,Can you provide an overview of the different types of leaves that are available to employees?,leave_type,7
157,Can you provide a list of the various leave categories that exist?,leave_type,7
158,I'm curious about the different kinds of leaves that I can avail. Could you tell me more?,leave_type,7
159,"Are there different leave options available to employees? If so, what are they?",leave_type,7
160,Can you explain the different types of leaves that employees are eligible for?,leave_type,7
161,I'm not familiar with the different types of leaves that I can take. Could you provide some information?,leave_type,7
162,What are the various leave categories that employees can choose from?,leave_type,7
163,Could you outline the different types of leaves that are typically offered to employees?,leave_type,7
164,I'm interested in learning about the different kinds of leaves that are available to me. Can you help?,leave_type,7
